range,area,unit
"一环路东二段,猛追湾95号院,新鸿苑,猛追湾东街宿舍",成华区,成都邦泰房屋拆迁有限公司
"一环路东二段,猛追湾95号院,新鸿苑,猛追湾东街宿舍",成华区,成都成华棚户区惠民改造建设有限责任公司
"菽香里一巷,菽香里二巷,成都市医药总公司用地边界,菽香里",成华区,成都兴力置业有限公司
"菽香里一巷,菽香里二巷,成都市医药总公司用地边界,菽香里",成华区,成都恒昌房地产开发有限公司
"菽香里一巷,菽香里二巷,成都市医药总公司用地边界,菽香里",成华区,成都市跃华房屋经营开发有限公司
"席草田巷,西临一心桥横街、水碾河南路,南临一心桥街,北临成都市现代职业技术学校、怡心苑小区",锦江区,成都市锦江区危旧房改造中心
"中国移动通讯大楼,高速交通执法大队,万年路社区,万年路",成华区,成都南森房屋拆迁有限公司
"中国移动通讯大楼,高速交通执法大队,万年路社区,万年路",成华区,四川为民房屋拆迁有限公司
"中国移动通讯大楼,高速交通执法大队,万年路社区,万年路",成华区,成都市鑫城锦地房屋拆迁有限公司
"中国移动通讯大楼,高速交通执法大队,万年路社区,万年路",成华区,成都成华棚户区惠民改造建设有限责任公司
"二环路东一段规划红线范围内,成都成都虹开实业发展有限公司宿舍用地边界,圣灯供销合作社用地边界,踏水巷",成华区,成都恒昌房地产开发有限公司
"二环路东一段规划红线范围内,成都成都虹开实业发展有限公司宿舍用地边界,圣灯供销合作社用地边界,踏水巷",成华区,成都成华旧城改造投资有限责任公司
"龙泉驿区龙泉街道保安寺路以西，商业前街以北,,,",龙泉驿区,成都经开实业有限公司
"龙泉驿区龙泉街道保安寺路以西，商业前街以北,,,",龙泉驿区,成都经济技术开发区建设发展有限公司
"东临文德路，西至桃源街，南临南天苑，北至桃溪路,,,",成华区,成都市唯益投资有限公司
"东临文德路，西至桃源街，南临南天苑，北至桃溪路,,,",成华区,成都弘仁建设投资有限公司
"东临文德路，西至桃源街，南临南天苑，北至桃溪路,,,",成华区,成都易欣房屋拆迁有限公司
"东临文德路，西至桃源街，南临南天苑，北至桃溪路,,,",成华区,四川鑫泉房屋拆迁有限公司
"东临文德路，西至桃源街，南临南天苑，北至桃溪路,,,",成华区,四川天佑福成房屋拆迁有限公司
"东临文德路，西至桃源街，南临南天苑，北至桃溪路,,,",成华区,成都成华棚户区惠民改造建设有限责任公司
"成华区杉板桥路70 号规划红线范围内,成华区杉板桥路70 号规划红线范围内,成华区杉板桥路70 号规划红线范围内,成华区杉板桥路70 号规划红线范围内",成华区,成都市跃华房屋经营开发有限公司
"成华区杉板桥路70 号规划红线范围内,成华区杉板桥路70 号规划红线范围内,成华区杉板桥路70 号规划红线范围内,成华区杉板桥路70 号规划红线范围内",成华区,成都市鑫城锦地房屋拆迁有限公司
"枫桥晓月小区,王家巷,泰丰御园小区,花牌坊大街",成华区,成都金开房屋经营管理有限公司
"枫桥晓月小区,王家巷,泰丰御园小区,花牌坊大街",成华区,成都市鑫地建设投资有限责任公司
"二仙桥东路44号,,,",成华区,成都众志房屋拆迁有限公司
"二仙桥东路44号,,,",成华区,成都成华旧城改造投资有限责任公司
"红塔房,书院街,北街,都中家属区",都江堰市,都江堰市危旧房改造中心
"瑞莲街37号-63号、水巷子1号-13号,,,",都江堰市,都江堰市危旧房改造中心
"仰天窝廊桥,南街,夜啤酒长廊,龙池商住城",都江堰市,都江堰市危旧房改造中心
"红塔房,书院街,教育局家属区,明和青年旅舍",都江堰市,都江堰市危旧房改造中心
"建设路,红塔房,北街,四川农业大学",都江堰市,都江堰市危旧房改造中心
"井福街,文庙街,市委家属区,书院街",都江堰市,都江堰市危旧房改造中心
"井福街,文庙街,幸福路,新华书店家属区",都江堰市,都江堰市危旧房改造中心
"胡家巷,太平洋电影院,蒲阳路,水务局家属区",都江堰市,都江堰市危旧房改造中心
"市委家属区,文庙街,文庙街5号院,茶厂家属区",都江堰市,都江堰市危旧房改造中心
"古城区停车场,井福街,海江置业幸福路商场,古城区停车场",都江堰市,都江堰市危旧房改造中心
"北至玉垒山，南至文庙街，西至老政协地块，东至文庙公园,,,",都江堰市,都江堰市危旧房改造中心
"东至天邑食品厂，南至迎春道，西至富民路北段，北至子龙街小学,,,",都江堰市,大邑县房产管理局
"东至天邑食品厂，南至迎春道，西至富民路北段，北至子龙街小学,,,",都江堰市,成都城建置业有限责任公司
"蒲阳河,兴盛街,米市坝,观景路",都江堰市,都江堰市危旧房改造中心
"审计局家属区,兴盛街128号居民点,柏条河,兴盛街",都江堰市,都江堰市危旧房改造中心
"北坛街,棉花街,南宝山监狱宿舍北侧围墙,摩尔国际楼盘南侧围墙",邛崃市,邛崃市住房保障中心
"邛崃市南环路道路拓宽改造工程用地红线范围内,,,",邛崃市,邛崃市住房保障中心
"郫都区犀浦镇浦发街两侧（详见征收范围图）,郫都区犀浦镇浦发街两侧（详见征收范围图）,郫都区犀浦镇浦发街两侧（详见征收范围图）,郫都区犀浦镇浦发街两侧（详见征收范围图）",郫都区,成都永安拆迁服务有限公司
"成华区杉板桥路188号规划红线范围内,成华区杉板桥路188号规划红线范围内,成华区杉板桥路188号规划红线范围内,成华区杉板桥路188号规划红线范围内",成华区,成都恒昌房地产开发有限公司
"成华区杉板桥路188号规划红线范围内,成华区杉板桥路188号规划红线范围内,成华区杉板桥路188号规划红线范围内,成华区杉板桥路188号规划红线范围内",成华区,成都市跃华房屋经营开发有限公司
"走马河街,江东街,军民街,龙角车街",成华区,都江堰市危旧房改造中心
"外南街,南河西路断头路,6支渠渠边,农民划地自建小区巷道",彭州市,彭州市统一拆迁有限责任公司
"晚霞养老中心,五福桥东路8号小区围墙,五福桥东路8号5栋、8栋,凤仪东路",金牛区,成都市金牛区人民政府五块石街道办事处
"新津县城西巷,新津县金三角广场,新津县武阳西路,新津县五津西路",新津县,四川杰辉建设有限公司
"营房巷片区包括城厢镇朝阳路社区（家珍巷，九思巷，平仓巷，营房巷，营房新村，城埝街，江西巷，小南街，大南街）,,,",青白江区,四川天丰置业有限公司
"人民北路二段,北站西一路,北站西二巷,北站西一巷",青白江区,成都市建西投资管理有限公司
"人民北路二段,北站西一路,北站西二巷,北站西一巷",青白江区,成都市金牛区人民政府荷花池街道办事处
"四川省送变电建设有限责任公司宿舍用地边界规划红线范围内,成都铁塔厂宿舍用地边界,四川省送变电建设有限责任公司宿舍用地边界,新成华大道",成华区,成都恒昌房地产开发有限公司
"四川省送变电建设有限责任公司宿舍用地边界规划红线范围内,成都铁塔厂宿舍用地边界,四川省送变电建设有限责任公司宿舍用地边界,新成华大道",成华区,成都成华旧城改造投资有限责任公司
"东临东安南路，南临大慈寺路， 西临汉庭连锁酒店，北临东顺苑,,,",锦江区,成都市锦江区房屋管理服务中心
"东临东安南路，南临大慈寺路， 西临汉庭连锁酒店，北临东顺苑,,,",锦江区,成都市锦江区房屋管理服务中心
"东临东安南路，南临大慈寺路， 西临汉庭连锁酒店，北临东顺苑,,,",锦江区,成都市兴市政房屋拆迁有限公司
"成勘院家属区,美丽新城,红砖街,原建三司",都江堰市,都江堰市危旧房改造中心
"二仙桥西北路,成都铁路局自主改造项目,八里庄路,二仙桥西北二路",成华区,成都市兴市政房屋拆迁有限公司
"二仙桥西北路,成都铁路局自主改造项目,八里庄路,二仙桥西北二路",成华区,成都成华旧城改造投资有限责任公司
"北至二仙桥西北二路，南至八里庄路，西至成都铁路局自主改造项目，东至二仙桥西北路规划红线范围内,,,",成华区,成都祥鹤房屋拆迁有限公司
